c_custkey,c_name,c_address,c_nationkey,c_phone,c_comment
941,Customer#000000941,297w97UgOfpV3pv2QniJUWBKq0BRpcawOfpj,19,29-745-875-1061,"e furiously along the slyly bold pains. ironic, ironic foxes affix quickly even deposits. packages caj"
954,Customer#000000954,"rr0Gz2iuYNuLgrIcLCdi5Zr2SnY8,wpzD9A",19,29-639-437-3775, haggle furiously. furiously ironic 
957,Customer#000000957,"9F8p,XsLLxyiZ3b8NN",19,29-941-553-8245,al excuses boost to the ideas. unusual requests are across the slyly
976,Customer#000000976,I78UJ2ks3sbcd0c2NQ7aH,19,29-436-660-4732,"special requests wake carefully regular somas. special theodolites wake regular, unusual pinto beans. furi"
1048,Customer#000001048,Mk0ebiw9SaFBTwoib,19,29-757-642-3735,"s are slyly regular foxes. slyly final pinto beans wake quickly among the regular, spe"
1058,Customer#000001058,R0NIEcSVDQ4rNUcCevDrap,19,29-818-620-9637,uctions. slyly express pinto beans are furiously. bold theodolites according to the fur
1078,Customer#000001078,"ZjRzAz8QbEeIkJxrUI,b",19,29-729-692-6790,"onic requests wake slyly furiously final attainments. ironic, even accounts cajo"
1079,Customer#000001079,cOyd7wsHIQq2LNN,19,29-699-930-2250,ter the express foxes nod slyly excuses. slyly speci
1148,Customer#000001148,7PslyqtS1K2Pabjht 4qgaZ1BbSNFfz6QiK4K,19,29-393-445-2761,"c, even deposits. accounts do use. regular accounts haggle blithely special, express courts. blithely"
1154,Customer#000001154,7RqtNwcSPbaUKaC,19,29-797-132-6916,thely. furiously regular accounts above the ironic platelets wake slyly blithely bold pint
1161,Customer#000001161, QD7s2P6QpCC6g9t2aVzKg7y,19,29-213-663-3342,ly alongside of the quickly blithe ideas. quickly ironic accounts haggle regul
1167,Customer#000001167,gNYGOcGkJu3ooSmsCh,19,29-721-479-1548,"lly regular ideas grow furiously regular accounts. regular, special requests sleep blithely. slyly bold pla"
1179,Customer#000001179,JLtS3n1xDqnNFS5MZc5uZHOjDctAJEl,19,29-311-833-9211,"ress, special accounts sleep slyly about the carefully express packages. f"
1191,Customer#000001191,"K9J7dhIXDB2kgubtIVdRC6RP0aF,GQXin",19,29-587-244-2901,ts wake. waters detect fluffily carefully regu
1285,Customer#000001285,"5Hy,ajDzJPtZFeJedRSeLN7XGOJtyUy2FI93",19,29-424-835-1463,ly bold ideas affix blithely about the slyly even pinto beans. slyly regular multip
1360,Customer#000001360,xeaT6W6D569UKCKU86iK9b6aUanlra,19,29-574-552-4018,nt packages affix quickly furiously regular foxes; quickly 
1364,Customer#000001364,INrMv02tUJWFSRMEbBl0oUTtCjry8qUcI8T,19,29-992-959-9626,e furiously according to the slyly final ideas. blithely silent excuses cajole s
1374,Customer#000001374,vRPteZtcyV,19,29-869-316-1166,ckly permanent accounts wake fluffily regular packages. quickly express foxes cajole. carefully ironic packa
1387,Customer#000001387,GQhAzCMyKiDoel3,19,29-444-890-8990,foxes haggle furiously according to the stealthy ideas: slyly special accounts about the requests use caref
1389,Customer#000001389,"ORf,IQyXsXJ1svlQ,5U",19,29-865-304-6982,posits. accounts are carefully. carefully express deposits cajole-- slyly bold dugouts wake according to 
1482,Customer#000001482,kTcr5JgkjFeLKIRcmtnCvOFr1feN59chP7,19,29-452-962-5934,are. slyly regular deposits mold carefully above the blithely regular ideas. carefully r
1498,Customer#000001498,"x XToT5oFi7oIsRG2mgIL3ncvYJoWBsufsQ7N,z",19,29-676-227-6356,ackages are slyly unusual req
62,Customer#000000062,"upJK2Dnw13,",7,17-361-978-7059,kly special dolphins. pinto beans are slyly. quickly regular accounts are furiously a
71,Customer#000000071,"TlGalgdXWBmMV,6agLyWYDyIz9MKzcY8gl,w6t1B",7,17-710-812-5403,"g courts across the regular, final pinto beans are blithely pending ac"
93,Customer#000000093,EHXBr2QGdh,7,17-359-388-5266,press deposits. carefully regular platelets r
119,Customer#000000119,M1ETOIecuvH8DtM0Y0nryXfW,7,17-697-919-8406,express ideas. blithely ironic foxes thrash. special acco
129,Customer#000000129,q7m7rbMM0BpaCdmxloCgBDRCleXsXkdD8kf,7,17-415-148-7416, unusual deposits boost carefully furiously silent ideas. pending accounts cajole slyly across
136,Customer#000000136,"QoLsJ0v5C1IQbh,DS1",7,17-501-210-4726,"ackages sleep ironic, final courts. even requests above the blithely bold requests g"
161,Customer#000000161,"2oRkx,NtjFUh",7,17-805-718-2449,ptotes nag carefully instructions. silent accounts are. furiously even accounts alongside
171,Customer#000000171,RIhjJCrth89EU7xRSvN,7,17-513-603-7451,"ly furiously final requests. slyly final requests wake silently pending, silent accounts. exp"
202,Customer#000000202,Q0uJ1frCbi9yvu,7,17-905-805-4635,fully along the carefully pending Tiresias; special packages along the carefully special deposits try to
212,Customer#000000212,19U0iZ3GtDdrsn,7,17-382-405-4333,symptotes are blithely special pinto beans. blithely ironic 
243,Customer#000000243,te2FOn8xJzJinZc,7,17-297-684-7972,nic deposits. evenly pending deposits boost fluffily careful
257,Customer#000000257,LyIa26EXYaSU,7,17-816-687-2155,"s cajole quickly along the ironic pinto beans: even, regular foxes are "
270,Customer#000000270,",rdHVwNKXKAgREU",7,17-241-806-3530,ldly final instructions mold carefully along the ironic accounts.
283,Customer#000000283,jysHDuTKUKYEjdBhtI LqTttTp 7i2kvx1 O3A,7,17-111-303-1282,y alongside of the accounts. slyly express dependencies wake quickly above the carefully ironic package
300,Customer#000000300,I0fJfo60DRqQ,7,17-165-193-5964,p fluffily among the slyly express grouches. furiously express instruct
301,Customer#000000301,FtFq9Cgg5UAzUL,7,17-265-345-9265,"ular, regular notornis sleep along the furiously pending foxes"
315,Customer#000000315,pXaKKTCTyc UI3tglBaWRimosymG6ZyOCyb6Vb3M,7,17-442-286-3594,s. slyly regular sentiments are carefully. slyly ironic asymptot
351,Customer#000000351,De35Hx1QiyS0uy,7,17-873-420-4342,telets haggle blithely against the ironic
379,Customer#000000379,"t3QzCf,q1NbshmjOIUY",7,17-228-550-9246,"l deposits cajole blithely blithely final deposits. express, even foxes grow carefully about the sile"
388,Customer#000000388,dV4lqEufXkF8R,7,17-856-814-6352, carefully bold deposits: final pinto beans sleep slyly idl
397,Customer#000000397,EzR2BKJ85SmBDS,7,17-103-357-8777,"al theodolites. regular accounts are regular, silent foxes. unusual asymptotes above t"
410,Customer#000000410,"nYak2u Q9,gYUiLfh1N",7,17-576-345-5940," sublate across the pending, express asymptotes. quickly "
454,Customer#000000454,d9oQCm3onNsFlIoteVjFcQDv,7,17-818-915-9400,"ions print slyly platelets. carefully regular packages according to the fluffy, even foxes wake carefu"
480,Customer#000000480,XyQSPswCeO WPD37K3 mYZ4hnCMJO5p,7,17-231-147-5851,posits. slyly ironic theodolites nag carefully about the quickly final accounts. s
495,Customer#000000495,QhFbEv6KbQIwfZs 1krt1eACKI31v3iyM,7,17-400-405-6060, dependencies. silent accounts cajole quickly furiously pendin
559,Customer#000000559,"A3ACFoVbP,gPe xknVJMWC,wmRxb Nmg fWFS,UP",7,17-395-429-6655,al accounts cajole carefully across the accounts. furiously pending pinto beans across the 
636,Customer#000000636,7urmO1zY77WBPOWn7pXA OqCm3upL9gOtL4V,7,17-420-712-5063,ions boost furiously at the final dolphins. blithe
637,Customer#000000637,Ey7g4q2oH Q1vs,7,17-983-923-8985,"ly furiously even accounts: final, unusual Tiresias do snooze theodolites. slyly regular dependenci"
648,Customer#000000648,"pYCT1OLD5Y7rBjjAKnf0Lqd 41RC,0n,nT3oNWz9",7,17-473-731-8352," wake carefully outside the ironic, bold packages. blithely special dependencies boost slyly even ideas. careful"
731,Customer#000000731,D0ceqTVRO3EctrC,7,17-731-915-9753,"lar dolphins are carefully slyly final theodolites. unusual accounts integrate across the regular, final deposit"
744,Customer#000000744, nYSoGuQkf,7,17-121-555-4268,"n packages. furiously silent foxes sleep regular, regular accounts. slyly ironic patterns cajole fluffily"
792,Customer#000000792,"icVt7HjGs,p3YL3nr1MHgaQIY5Gmzej57nB,b",7,17-392-500-4370,latelets along the carefully even packages cajole blithely packages-- even pinto beans haggle 
903,Customer#000000903,"URTiQupkhObWG39,kZ3CfU",7,17-706-779-2078,"kly doggedly even instructions. regular, regular accounts along the even, bold packa"
922,Customer#000000922,Az9RFaut7NkPnc5zSD2PwHgVwr4jRzq,7,17-945-916-9648,luffily fluffy deposits. packages c
983,Customer#000000983,9jgCxRufEbwbGwW0PmG1RDIOwCUYlHs8z,7,17-283-610-6143,"mas cajole furiously across the fluffily special deposits. pending foxes sleep regular, silent packages. ironic pla"
993,Customer#000000993,"56K JjC bMcgbXlJA4KI Icu uggsRoviMQm,F",7,17-494-757-5759, according to the slyly bold accounts. 
1043,Customer#000001043,HJMn12xn4bl vWC7iVuTRsErYEzlyCO,7,17-266-334-8613,iously ironic deposits cajole slyly busily final account
1055,Customer#000001055,Z3AggyEMPME2hqqTfbMC76O0z,7,17-802-131-7180,dolphins: furiously ironic pinto beans above the carefully regular foxes nag slyly across th
1083,Customer#000001083,tnrpYmWGxwyaFmJy2Oq0Z,7,17-159-499-3318,luffily. slyly unusual accounts cajole furiously against the ironic asymptotes. slyly reg
1108,Customer#000001108,9sPt6a66R0eCRVYh9QrF8zjxNWFFk8KU,7,17-408-450-8891,rding to the final instructions. carefully final accounts wake along the carefully careful pinto beans. re
1151,Customer#000001151,ratQBQ4rYv TfhWfHe,7,17-948-135-2667,l requests. furiously bold orbits after the furiously ironic excuses sleep
1213,Customer#000001213,4ATLYSTcqLfgAJLxL7U,7,17-548-151-7684,ong the deposits. quickly express deposit
1249,Customer#000001249,x9ukZnNiUM5pBPXyE3epagewVQBPZzxGYD6sMH,7,17-866-269-1165," the ironic packages sleep carefully express theodolites. even, final deposits across the even deposits nag after t"
1291,Customer#000001291,"dg3hkdHiI9zqk7l3242Q28OLLFy,1vZ,",7,17-693-294-2656,", final requests-- furiously careful ideas wake busily ironic, even a"
1324,Customer#000001324,6qS1ZDpAYr9aED9Yh ggf8ACJcPi7sp,7,17-415-957-9976,"t the busy courts sleep quietly above the ideas. final accounts after the regular, ironic pl"
1325,Customer#000001325,Agu uZvi6Xv77 nE7W8,7,17-687-303-1074,n foxes integrate furiously ironic requests. furiously even theodolites use daringly pending deposits; even pl
1362,Customer#000001362,FKywgbtf4ib,7,17-801-385-5904,"gouts. quickly silent foxes affix after the ironic, special accounts. carefully bold d"
1371,Customer#000001371,"H,U3MSp1OTLGIQuW2",7,17-492-673-8157,es are after the carefully ironic deposits. silent requests alongside of the furiously even dependencies
1416,Customer#000001416,"ovOZcFGL31uxmA2ifIYudX6OuwNDz,B",7,17-306-898-9363,unts wake slyly excuses. bravely even pinto beans across the furiously final de
1440,Customer#000001440,k3LXBO5QJrG94TBG77adB1HjqQkleDyUf2c,7,17-619-730-9883,"xpress, even accounts integrate. ironic, special requests doze. carefully express instructions doze furio"
1444,Customer#000001444,8WcsyfQU5svH9miWvYbSTH9,7,17-107-228-8125,inal platelets. quickly ironic requests do are carefully carefu
1452,Customer#000001452,"51mhHAvPHZACedHYXVU5HXoDIQtBK9,pxuOIlJ",7,17-581-575-4538,silent theodolites. fluffily special
1463,Customer#000001463,WD3OuRpJ0NVj2qslrTkUPmeJqVx5,7,17-980-394-5868,s. blithely even courts wake quickly: quickly silent pains doubt slyly. slyl
1469,Customer#000001469,"yLW8qLv25wuMsibRd,1qJe9",7,17-961-583-4658,"y even dependencies wake against the regular, final excuses. packages haggle slyly a"
1478,Customer#000001478,x7HDvJDDpR3MqZ5vg2CanfQ1hF0j4,7,17-420-484-5959,ng the furiously bold foxes. even notornis above the unusual 
1480,Customer#000001480,"Hzjh65ZXBFSzflrjQgECkrp35gDha,2",7,17-573-775-8796,uriously pending courts are. deposits serve quickly blithely final excuses. slyly reg
1483,Customer#000001483,ZjY1C b6cOnY3,7,17-202-113-4814,nts sleep around the carefully express theodolites. requests nag 
